The output.txt contains all the outputs of every expression computed inside input.txt:

1. Expression: 14-3*2+7  Output: 15.0

2. Expression: (((((4+3))))) Output: 7.0

3. Expression: (2 + 3) * (4 - 5) / 6 Output: -0.8333333333333334

4. Expression: (8 - 4) * (2 + 3) + 5 Output: 25.0

5. Expression: 2 * (3 + 4) - 5 * (6 - 2) Output: -6.0

6. Expression: (1 + 2) * (3 - 4) / 5 != 0 Output: true

7. Expression: (9 + 3) / 4 * (7 - 2) - 5 Output: 10.0

8. Expression: ((6 * 4) + (7 * 3) - 1) != (12 + 7) * 2 - 4 Output: true

9. Expression: 4 + (8 * (7 - 4)) - (6 / (2 - 1)) == 28 Output: false

10. Expression: ((9 + 3) / 4) * (7 - 2) - 5 < 15 Output: false

11. Expression: ((5 * 4) / 2) - ((4 - 1) * 2) + (7 * 9) Output: 67.0

12. Expression: 1 + 1 + 1 == 3 Output: true

13. Expression: (420 - 69) + 1337 != 42 Output: true

14. Expression: ( 12 + 22 + ( 5 + 12 ) ^ 2 - 4 ^ 2) Output: 307.0

15. Expression: 50 - 5 - 10 == 50 - 5 - 10 Output: true

16. Expression: 1 * 2 * 3 * 4 * 5 == 120 Output: true

17. Expression: 6 * 4 <= 7 * 3 - 1 Output: false

18. Expression: 10 ^ (3 - 1) >= 3 * (5 * 6) Output: true

19. Expression: (1 + 2) * (5 - 4) * 5 != 15 Output: false

20. Expression: (5 + 2) * (9 - 1) / 8 >= 7 - 3 * (4 ^ 5) Output: true

21. Expression: 4+(10*(2/1)+3) Output: 27.0

22. Expression: 4+(10/(2*1)+3) Output: 12.0

